sp_tile_k_1,attr_1,attr_0,in_0,sp_tile_k_0,in_3,in_2,in_1,thrpt
-0.18394979922303306,0.0,0.0,-0.6103625088225736,0.0,-0.6608216330757588,-0.394920871065069,-0.6608216330757588,4.093344078571867
-0.08181435676427018,0.0,0.0,-0.6103625088225736,0.0,-0.6608216330757588,-0.394920871065069,-0.6608216330757588,3.715521409403103
0.12245652815325558,0.0,0.0,-0.6103625088225736,0.0,-0.6608216330757588,-0.394920871065069,-0.6608216330757588,2.998727832384237
-0.27331831137445056,0.0,0.0,-0.6103625088225736,0.0,-0.6608216330757588,-0.394920871065069,-0.6608216330757588,4.03175970477356
-0.2828935091049596,0.0,0.0,-0.6103625088225736,0.0,-0.6608216330757588,-0.394920871065069,-0.6608216330757588,3.121042508630597
-0.2350175204524145,0.0,0.0,-0.6103625088225736,0.0,-0.6608216330757588,-0.394920871065069,-0.6608216330757588,4.140273510028997
-0.2797017765281233,0.0,0.0,-0.6103625088225736,0.0,-0.6608216330757588,-0.394920871065069,-0.6608216330757588,3.7480913373084586
-0.2856862751096914,0.0,0.0,-0.6103625088225736,0.0,-0.6608216330757588,-0.394920871065069,-0.6608216330757588,-13.815510557964274
-0.2852873085375869,0.0,0.0,-0.6103625088225736,0.0,-0.6608216330757588,-0.394920871065069,-0.6608216330757588,1.9444806993072252
-0.28448937539337776,0.0,0.0,-0.6103625088225736,0.0,-0.6608216330757588,-0.394920871065069,-0.6608216330757588,2.53290292748437
-0.26055138106710524,0.0,0.0,-0.6103625088225736,0.0,-0.6608216330757588,-0.394920871065069,-0.6608216330757588,4.149148370040622
-0.26055138106710524,0.0,0.0,2.071200281527448,0.0,-0.5527875474774546,-0.9404022914365955,-0.5527875474774546,4.945634450993241
-0.28448937539337776,0.0,0.0,2.071200281527448,0.0,-0.5527875474774546,-0.9404022914365955,-0.5527875474774546,2.749831799055782
-0.2350175204524145,0.0,0.0,2.071200281527448,0.0,-0.5527875474774546,-0.9404022914365955,-0.5527875474774546,4.716979869982241
-0.18394979922303306,0.0,0.0,2.071200281527448,0.0,-0.5527875474774546,-0.9404022914365955,-0.5527875474774546,4.698569459354939
-0.2852873085375869,0.0,0.0,2.071200281527448,0.0,-0.5527875474774546,-0.9404022914365955,-0.5527875474774546,2.107786136195654
0.5309982979883071,0.0,0.0,2.071200281527448,0.0,-0.5527875474774546,-0.9404022914365955,-0.5527875474774546,-13.815510557964274
0.12245652815325558,0.0,0.0,2.071200281527448,0.0,-0.5527875474774546,-0.9404022914365955,-0.5527875474774546,3.7305011527855707
-0.2828935091049596,0.0,0.0,2.071200281527448,0.0,-0.5527875474774546,-0.9404022914365955,-0.5527875474774546,3.3951793428711325
-0.2797017765281233,0.0,0.0,2.071200281527448,0.0,-0.5527875474774546,-0.9404022914365955,-0.5527875474774546,4.046379075412799
-0.27331831137445056,0.0,0.0,2.071200281527448,0.0,-0.5527875474774546,-0.9404022914365955,-0.5527875474774546,4.629374884445768
-0.2856862751096914,0.0,0.0,2.071200281527448,0.0,-0.5527875474774546,-0.9404022914365955,-0.5527875474774546,-13.815510557964274
-0.08181435676427018,0.0,0.0,2.071200281527448,0.0,-0.5527875474774546,-0.9404022914365955,-0.5527875474774546,4.483793211111996
0.5309982979883071,0.0,0.0,0.19222735535626181,0.0,-0.5527875474774546,-0.9760158770974133,-0.5527875474774546,-13.815510557964274
0.12245652815325558,0.0,0.0,0.19222735535626181,0.0,-0.5527875474774546,-0.9760158770974133,-0.5527875474774546,3.7169809085320544
-0.2852873085375869,0.0,0.0,0.19222735535626181,0.0,-0.5527875474774546,-0.9760158770974133,-0.5527875474774546,1.9837564290970005
-0.2856862751096914,0.0,0.0,0.19222735535626181,0.0,-0.5527875474774546,-0.9760158770974133,-0.5527875474774546,-13.815510557964274
-0.2828935091049596,0.0,0.0,0.19222735535626181,0.0,-0.5527875474774546,-0.9760158770974133,-0.5527875474774546,3.277522058022548
-0.26055138106710524,0.0,0.0,0.19222735535626181,0.0,-0.5527875474774546,-0.9760158770974133,-0.5527875474774546,4.751173488749483
-0.27331831137445056,0.0,0.0,0.19222735535626181,0.0,-0.5527875474774546,-0.9760158770974133,-0.5527875474774546,4.525802261430544
-0.2797017765281233,0.0,0.0,0.19222735535626181,0.0,-0.5527875474774546,-0.9760158770974133,-0.5527875474774546,3.900759833375972
-0.18394979922303306,0.0,0.0,0.19222735535626181,0.0,-0.5527875474774546,-0.9760158770974133,-0.5527875474774546,4.680834099180358
-0.2350175204524145,0.0,0.0,0.19222735535626181,0.0,-0.5527875474774546,-0.9760158770974133,-0.5527875474774546,4.681946034051115
-0.28448937539337776,0.0,0.0,0.19222735535626181,0.0,-0.5527875474774546,-0.9760158770974133,-0.5527875474774546,2.6181255665136804
